Fatal_1 Fatal_2 Fatal_3 Survivor_1 Survivor_2 Survivor_3
ATP5H 470 362 485 466 654 456
ME1 0 5 2 0 3 4
LRRN2 11 15 81 4 0 0
ATP5B 405 368 470 302 420 178
HSD11B1L 1 0 0 0 1 2
GNAI2 4394 4533 5985 942 1617 1029
NES 12 21 9 0 0 0
ATP5E 990 850 1045 3539 6481 1238
ATP5D 8 8 1 3 1 8
NPSR1 0 1 0 0 0 0
MPZL2 16 12 18 27 38 45
MPZL3 274 176 296 264 249 56
TBK1 4012 3326 5382 1067 1406 778
GPR143 3 1 0 2 0 0
AURKAIP1 27 25 28 4 10 17
RPL30 0 0 1 1 1 0
GPR148 0 0 0 0 0 0
GPR149 0 1 1 1 0 0
NFKBIB 106 149 169 12 40 25
B3GALNT1 549 389 1218 89 149 15
CITED2 166 161 164 63 116 64
CITED1 1 1 0 0 0 0
AMHR2 23 38 6 6 9 7
CITED4 0 0 0 0 0 0
PFDN1 478 381 538 239 273 147
MDC1 286 253 311 158 103 87
PFDN5 1440 963 959 1828 2053 2435
PFDN4 63 70 73 163 151 53
PFDN6 81 85 86 36 79 92
MTHFR 174 214 190 69 149 83
ZNF219 2 1 1 0 2 5
TOP1MT 92 60 76 56 111 60
NEURL1B 1 0 0 7 16 1
DTNB 31 33 13 51 55 68
ACHE 4 1 2 0 0 0
NFKBIE 948 1047 1215 67 102 124
WSCD1 2 1 1 4 2 22
CSNK1A1L 0 0 1 1 1 3
GGN 5 0 2 0 0 0
RIN3 366 426 354 37 98 112
MET 47 39 29 49 43 25
KIF9 3 6 13 3 7 4
NCCRP1 2 0 0 0 1 0
NOX5 2 1 2 1 2 0
NOX4 2 1 0 1 2 0
CLPX 687 503 654 766 938 312
RPS11 3272 2109 2171 5089 8366 7281
LALBA 0 1 0 0 0 0
RPS15 287 249 240 161 610 1478
CLPP 17 8 7 8 12 0
CLPS 0 0 0 1 0 0
TOMM22 246 184 294 272 421 311
RHOXF2 0 0 0 1 1 0
RHOXF1 0 1 0 0 1 0
CARD9 19 32 13 7 33 67
LATS2 0 0 0 0 0 0
DDOST 935 891 1239 749 998 794
PDCL 447 342 583 334 454 327
PUSL1 1 1 5 0 1 8
SRCIN1 0 2 2 2 0 0
ARHGAP30 0 0 0 0 0 0
CRABP1 0 0 0 0 0 0
CRABP2 4 4 5 0 0 0
ARHGAP31 653 654 1853 282 423 276
FAM64A 0 1 0 0 2 0
ZNF419 1 5 7 20 6 18
ZNF415 94 62 148 49 52 42
ZNF414 14 17 25 2 8 5
NEU2 0 1 0 0 0 0
ARHGAP36 1 0 0 0 0 0
RRAGC 3077 2746 3346 499 463 255
TLR3 3111 1873 4410 218 161 47
SSSCA1 15 5 13 5 0 14
POU4F2 0 0 0 0 0 0
GGT1 157 183 309 6 12 6
MCOLN1 40 78 51 4 9 7
GGT7 5 7 4 2 6 6
MCOLN3 5 3 1 10 4 4
RASA1 821 758 963 1406 1313 812
RASA3 665 421 218 559 648 612
ACTN3 12 10 6 9 11 16
ACTN2 5 5 5 2 3 0
PTPRT 2 1 1 1 0 1
SLC40A1 6128 3913 4622 5818 9475 6094
PTPRQ 0 0 0 0 0 0
ACTN4 2260 2332 2656 241 356 364
CLP1 221 169 273 137 167 169
EZR 2774 2824 3574 783 1008 841
TIMM44 25 21 17 11 26 30
PTPRG 58 23 22 31 331 37
PTPRF 1 4 0 3 6 2
PTPRD 0 5 6 0 3 0
PAGR1 124 112 191 24 44 64
PTPRO 7 5 5 54 40 19
PTPRN 2 7 3 0 2 0
PTPRM 39 16 38 23 15 6
DTWD2 57 52 140 52 43 16
DTWD1 98 59 58 516 578 499
IFT27 1 3 8 5 12 10
IFT20 87 81 147 145 272 57
CPM 381 179 146 207 55 43
CPO 0 0 1 0 0 0
KIF6 5 4 2 5 10 0
BMP2 6 1 6 7 3 24
CPZ 0 0 0 0 0 0
CPQ 371 156 72 194 233 209
CASS4 140 176 90 580 547 172
N6AMT2 145 124 193 63 93 87
RTN4R 0 1 0 0 1 0
RAD9B 30 49 37 73 77 72
PRSS37 2 1 3 10 0 0
BANK1 878 1167 772 1749 1125 2860
LSP1 955 909 749 171 270 223
PRSS36 7 8 8 3 5 6
DOC2A 0 2 2 0 0 0
DOC2B 2 1 0 0 0 0
NR5A1 7 2 3 0 6 0
GPR152 0 1 0 0 0 1
RNASEH1 166 126 230 108 142 84
DMP1 6 1 1 0 1 0
F2 3 8 4 3 1 3
ERGIC3 775 723 785 547 882 822
MON2 2091 2052 2462 2208 1692 795
MAMSTR 1 0 0 0 0 0
ABLIM3 55 38 33 68 58 87
ABLIM2 1 4 2 7 1 7
OCSTAMP 0 0 0 0 0 0
F5 57 47 129 27 17 6
UBXN7 1543 1110 1300 3350 5305 1758
LMTK3 0 3 1 1 0 0
LMTK2 2425 1947 2137 401 546 184
ENDOU 16 15 22 11 1 1
TAF1D 439 354 332 361 311 228
UBXN1 471 515 634 106 294 320
HHIP 8 0 0 0 2 0
HMGN4 1856 1606 2316 934 881 814
GSTZ1 20 19 20 29 56 56
RAB6A 745 603 819 424 566 348
RAB6B 376 163 99 102 207 52
RC3H1 4058 3465 3976 2214 2421 1063
RC3H2 2254 1259 1800 2242 2342 1037
DEFB126 0 0 0 0 0 0
CHL1 68 93 474 0 1 0
KCNMB4 8 9 4 18 8 31
IFIT5 4981 3802 5526 998 1410 337
IFIT3 42119 27438 39694 3960 4243 445
IFIT2 65728 36508 63094 5760 6712 440
TRO 6 9 4 9 16 14
EFTUD2 1126 1111 1154 699 726 488
ISG15 3564 2984 4643 7 20 17
SIGLEC9 752 710 790 50 80 63
BRCC3 76 88 83 83 110 64
FAM89A 1554 1807 3177 76 114 78
ZNF346 76 59 61 100 95 45
GDI2 4707 3430 5925 6195 7550 5645
GDI1 1112 1065 1159 164 270 176
CBY3 0 0 0 0 0 0
KRT34 2 0 1 0 0 0
PDLIM1 238 148 58 69 77 61
ERLIN1 72 61 82 204 189 104
CCDC34 63 42 82 12 31 6
SBSN 0 0 0 0 0 0
GABRP 1 3 0 0 1 0
FOXG1 0 0 0 0 0 0
KRT17 0 0 0 0 0 0
WDR34 16 7 4 3 5 6
WDR37 1151 1086 1077 325 334 243
WDR36 251 279 489 491 492 330
WDR31 3 0 1 4 1 0
KRT12 4 1 2 10 7 0
WDR33 1820 1741 1908 1000 1011 635
KRT10 8 13 7 24 22 14
GABRE 0 3 1 1 0 0
IL15RA 376 278 427 27 71 22
WDR38 0 2 2 0 1 0
CRIP3 0 0 0 2 0 7
EIF4A2 2642 2652 3004 4400 4029 3170
ABHD17C 273 315 196 152 141 55
GIGYF1 202 236 215 22 58 55
GIGYF2 1011 1068 1065 1122 1427 502
TLE2 42 33 67 1 2 2
TLE1 210 260 450 37 31 85
SLC26A7 3 2 0 2 0 0
TLE4 1494 1580 1893 580 816 345
SPTA1 2132 710 502 601 880 519
SLC26A8 62 41 45 14 6 7
AUNIP 25 23 32 26 25 12
HGSNAT 0 0 0 0 0 0
PLP2 1276 1459 1471 186 421 136
ZFP69B 3 6 6 5 2 0
CDC6 108 89 97 92 158 37
PROB1 2 1 1 0 0 0
PKLR 18 17 2 0 2 0
CRYZL1 60 58 69 70 87 50
DEFB125 1 2 0 0 0 0
FGF2 4 0 2 6 7 14
NR4A3 137 54 72 10 22 3
TM9SF1 450 435 585 207 332 175
PCDHB16 2 1 0 0 0 0
PCDHB15 4 3 3 3 1 0
TFPI 202 127 236 155 232 367
BTF3 397 372 316 505 888 296
NAT9 244 168 204 28 48 63
SPATS2L 4119 1925 4141 123 157 76
IL1RL2 13 6 7 1 0 0
NAT1 82 86 131 88 65 63
ACAN 25 66 25 8 10 0
NAT6 28 14 13 11 8 11
ERICH1 45 50 81 23 21 26
GLO1 174 107 66 642 476 519
GOSR2 337 338 508 142 179 150
TNFAIP8 723 452 753 1145 1089 930
FAIM2 2 1 1 1 0 0
FAIM3 48 111 31 1310 725 1891
RABAC1 14 15 7 5 25 54
IL1F10 0 0 0 0 1 0
FOXD3 0 0 0 0 0 0
SDC1 7 2 3 2 8 7
MFSD6L 0 1 1 1 0 1
CEND1 1 0 0 0 1 0
CCBL1 27 35 17 23 37 51
NGFR 9 3 2 57 71 39
KCNC4 1 1 1 1 0 0
FABP12 0 0 0 0 0 0
SDC3 632 552 299 228 617 53
KCNC2 0 0 2 0 0 0
TMEM258 23 16 20 14 55 69
TMEM254 41 12 23 54 110 34
TMEM253 2 4 0 0 1 3
TMEM252 1 0 0 0 0 0
TMIE 0 0 0 0 0 0
KIAA2026 1057 955 1104 1038 885 397
CPSF7 1050 889 1030 537 562 350
CPSF6 764 632 792 863 962 638
CPSF4 72 81 57 68 98 117
CPSF2 1268 828 1273 1737 2214 795
CPSF1 160 169 146 57 115 114
OIP5 43 15 10 23 13 4
MAD1L1 68 44 55 50 69 89
ACAA1 764 656 996 59 202 86
APOBR 306 604 533 9 24 24
SIPA1L1 1374 1261 1634 820 1015 428
APCS 1 2 1 2 2 0
TTLL5 81 110 131 78 69 22
TTLL7 17 17 10 30 81 13
LTBP3 10 14 7 7 3 8
LTBP2 45 29 32 0 9 0
LTBP1 1273 459 535 1986 2753 1253
TTLL2 0 1 0 2 1 0
AGPAT3 1609 1299 1151 278 627 224
TTLL9 8 7 4 0 2 0
TTLL8 0 2 0 0 1 0
SUFU 124 137 67 78 69 41
PLA2G4C 3769 2772 2732 245 404 78
PLA2G4A 129 61 135 148 222 139
PLA2G4F 2 5 4 1 0 0
TRAF7 347 308 268 83 197 146
PLA2G4D 0 1 2 0 0 0
CRAT 133 99 69 40 63 59
SLC35F4 3 2 0 1 1 0
SLC35F1 1 0 0 0 0 0
LRWD1 105 114 162 13 21 51
FAT2 11 14 15 3 9 0
CMTM8 5 2 1 4 2 11
MBD3 12 10 8 2 5 32
SUPV3L1 210 212 234 195 236 120
CMTM3 110 85 84 93 142 82
CMTM7 35 39 27 21 27 16
FAM126B 2733 2345 4007 905 855 460
TRMT112 199 159 230 132 247 213
COL11A2 5 7 6 2 11 18
TSPAN10 0 0 0 0 0 0
TSPAN11 0 0 0 0 0 0
TSPAN12 2 5 1 2 0 0
MTNR1B 1 1 1 1 2 0
TSPAN16 61 34 69 1 1 5
TSPAN17 235 300 186 21 63 32
REXO1 44 78 34 4 9 11
HEPACAM2 6 6 1 17 22 24
REXO2 246 198 195 353 390 278
SLC25A19 12 2 8 3 28 6
SLC25A18 5 7 6 4 1 0
SLC25A17 44 40 54 132 138 113
SLC25A16 103 65 92 124 147 68
SLC25A15 33 34 22 32 50 25
SLC25A13 146 118 137 107 103 87
SLC25A12 117 74 87 252 206 145
SLC25A11 150 116 105 67 113 71
SLC25A10 3 3 0 1 2 4
HSD17B8 27 43 28 40 82 57
TUBA3C 2 0 4 6 2 7
SLC17A9 5 7 7 1 8 7
CCDC14 102 66 54 169 241 118
EAF2 75 173 58 474 435 456
CCDC17 63 95 41 40 42 16
LAD1 7 8 3 0 3 0
FOXF1 0 2 0 0 0 0
NDUFA12 113 76 110 184 259 142
CCDC13 2 0 1 6 4 13
CARHSP1 112 100 80 105 239 135
CCDC18 429 264 445 596 795 201
CHRM5 11 11 17 7 5 16
RBPJL 2 0 0 0 0 0
TMUB1 11 13 4 3 2 9
TMUB2 169 134 128 32 56 38
JAZF1 767 643 674 530 431 272
SCGB1C1 0 3 2 0 0 0
KIAA1644 0 1 0 0 0 0
TNNI1 7 6 1 0 0 0
HSD17B1 0 1 1 0 2 0
DEFB123 0 0 0 0 0 0
SYNCRIP 664 663 736 805 786 448
ZNF646 263 244 214 56 124 125
ALDH1L2 2 12 4 17 19 6
ALDH1L1 1 3 2 0 2 0
ZNF280C 129 161 162 119 110 66
ZNF280B 5 4 4 23 13 3
VIM 19970 20480 23648 5100 11512 6113
GPN2 121 150 169 60 68 30
VIT 2 1 3 0 0 0
MMAB 0 7 3 14 11 16
TYR 0 2 2 0 0 0
RAB19 2 0 4 5 1 3
ALG8 126 88 100 245 239 177
PDXK 231 301 295 26 72 43
STAR 2 4 5 3 4 1
ALG2 222 216 311 291 315 171
ALG3 11 16 15 6 21 26
UGT3A1 1 1 0 1 0 0
FUZ 17 9 5 6 8 11
ALG5 45 46 51 92 102 53
WIF1 15 4 1 66 4 26
SMARCE1 632 502 702 872 900 568
TTLL1 12 7 7 11 5 9
RNGTT 470 500 629 691 577 354
STAM 216 217 296 176 285 64
FUK 23 35 24 13 31 53
CBLC 0 2 0 0 0 0
PARP8 1712 1073 1710 1384 1265 585
INSL5 0 1 0 0 0 0
INSL4 2 1 4 0 1 0
CCNE1 104 60 122 47 71 12
CLDN8 1 1 1 0 0 0
CLDN9 0 0 0 0 0 0
FIG4 582 460 441 803 1303 707
GCC2 2460 1956 1730 2333 2472 818
GCC1 740 617 846 320 296 222
TBC1D8B 34 29 25 36 33 4
CLDN1 5 2 2 0 0 0
CLDN2 0 0 1 0 0 0
CLDN3 0 0 0 0 0 0
CLDN4 0 1 1 4 2 2
ZNF645 1 1 0 0 0 0
CLDN6 0 1 0 0 0 0
CLDN7 3 2 2 3 30 5
RASGEF1C 0 2 1 0 1 0
RASGEF1A 181 144 223 52 73 69
FIGN 2 1 1 0 5 2
RTN1 187 58 81 63 37 56
CYTL1 0 0 0 0 0 0
SMYD2 99 74 23 144 145 139
SMYD3 63 59 62 119 105 91
DNAI1 2 0 1 2 4 0
SERPIND1 100 140 87 24 20 5
IRF3 299 276 198 99 226 245
IRF2 1751 1396 1674 1231 1664 1179
IRF7 410 259 354 4 27 14
IRF6 18 9 14 8 9 3
IRF5 774 847 1037 111 237 227
IRF4 11 22 7 58 66 152
IRF8 42 55 36 220 374 312
FAM78B 1 1 1 1 0 0
LY75 1578 1403 2776 1460 1017 1051
CLUL1 2 6 1 0 0 0
SNX29 156 251 210 189 165 276
SNX22 9 9 7 4 0 5
CLK1 2486 2234 3495 1874 2361 1150
SNX20 285 241 373 95 199 137
SNX27 721 816 1116 318 323 145
SNX24 92 132 172 120 205 64
RUNDC1 61 123 169 44 53 39
ONECUT2 0 0 0 0 0 0
ONECUT1 0 0 0 1 0 0
RPP21 16 7 2 9 11 28
PDZD3 0 5 1 1 2 0
PANX1 426 252 328 714 618 314
PANX3 1 0 1 1 0 0
FECH 1097 997 553 4121 3425 3689
ZBTB12 4 1 1 1 1 4
ZBTB11 1356 916 1248 1603 1703 831
ZBTB10 529 588 744 480 417 334
ZBTB17 153 164 180 24 41 50
ZBTB16 60 70 27 9 35 13
PIGU 85 56 32 60 76 29
ADAP1 134 155 173 15 71 81
TMEM150C 0 1 0 0 1 0
ADAP2 86 35 56 46 172 70
ZNF641 238 273 382 194 169 283
DDX19B 159 132 123 162 220 183
ACVR2A 17 29 17 214 155 133
ZNF205 0 0 1 0 1 0
KLHL13 36 8 12 83 49 66
KLHL14 4 10 0 21 17 30
KLHL15 419 360 568 186 210 84
KLHL18 659 633 688 135 214 68
DAB2IP 9 11 6 0 2 2
CXHXorf57 10 9 5 135 90 22
SPATA33 14 14 9 4 2 17
SPATA32 1 8 9 0 0 0
TRIM68 41 36 31 79 84 47
MTOR 914 882 893 689 712 344
TRIM60 0 1 1 8 1 0
TRIM61 0 0 0 0 0 0
TRIM62 61 70 66 15 12 26
TRIM64 6 21 10 4 6 0
DPP3 254 214 300 69 140 111
TRIM66 6 9 7 5 8 8
ITK 648 616 360 2100 1396 658
OMD 9 14 6 16 19 5
SLC35F2 17 13 13 32 33 38
WFDC6 0 1 3 0 1 0
CEACAM6 523 388 810 18 27 5
ZNF852 7 13 34 10 8 7
NAGPA 30 49 35 12 23 22
IGIP 26 17 27 198 119 85
NPTX1 0 1 0 0 0 0
SYT10 0 0 1 0 0 0
ZNF850 17 16 19 52 22 31
LRRC8A 23 19 25 10 13 2
TRDN 2 2 2 0 1 0
SERTAD1 148 92 194 28 57 73
SERTAD3 851 553 849 149 216 203
ARAP3 376 392 429 24 70 55
BIK 34 21 39 3 13 11
BID 592 642 815 58 68 74
C1H1orf210 0 0 0 0 0 0
APCDD1L 0 2 0 0 2 0
GIN1 142 75 124 443 522 129
TTPA 3 1 0 2 8 0
C19H1orf109 51 43 36 69 68 28
FAM228A 0 1 0 0 0 1
KLKB1 5 5 23 3 1 1
THEM6 1 0 0 1 3 11
ANKRD34A 0 0 0 0 0 0
MBD2 1901 1464 1580 1005 1351 648
PES1 89 95 147 106 154 146
PPM1E 11 3 1 29 14 60
SLN 0 0 0 0 2 0
CEACAM19 0 0 0 0 0 0
ANKRD34C 0 1 0 0 0 0
LMAN1L 2 10 3 1 1 0
HMHA1 348 245 277 149 286 449
CDC123 658 488 741 416 558 431
CEACAM16 1 1 0 0 0 0
CTNS 84 142 75 51 56 57
CIDEC 4 1 0 0 2 0
PPM1A 3220 2702 3174 6169 5786 1426
FERMT3 2213 1871 2576 278 764 860
MEAF6 337 254 354 238 203 183
MSMP 72 100 102 32 39 45
MCC 80 97 60 56 50 26
LCA5 25 17 11 197 172 97
EPHB6 2 6 2 6 10 13
ZNF658 18 7 7 88 82 70
PPM1N 18 25 15 0 0 1
ZNF655 2823 2487 3348 1368 1179 704
TCTEX1D2 2 7 13 12 1 2
TCTEX1D1 1 2 1 0 0 0
CREB3L3 1 1 0 0 0 0
TCTEX1D4 3 3 3 1 1 0
PPP1R42 0 0 1 0 0 0
TSPAN18 11 15 22 1 0 1
FGFRL1 0 2 0 0 1 0
HSF2 298 240 295 374 294 175
HSF5 3 2 1 3 4 8
CRLF3 1511 1019 1564 1809 1829 1260
CRLF1 0 0 0 0 0 0
RAPGEF5 151 76 208 43 16 105
RAPGEF1 1892 1687 1812 839 866 625
RAPGEF2 1841 1779 1469 1389 1848 827
RLN3 0 0 0 0 0 0
RNF175 511 417 620 50 105 48
DNAJB13 0 0 0 0 0 0
ZNF384 348 503 383 111 135 81
ZNF382 54 47 51 49 102 45
POC1B 2469 1608 1411 11196 13492 3629
ZNF354B 186 119 137 264 166 124
RORC 2 3 0 2 47 16
RORB 0 0 0 1 0 0
RORA 175 114 92 593 488 81
NXPE2 2 2 0 1 1 0
NXPE4 2 3 1 4 0 0
DUSP21 1 0 0 0 0 0
ZNF471 57 25 52 43 32 30
DMTF1 1133 1330 1293 2016 1474 1105
CCSER2 1410 1126 1231 1714 1331 861
TSPAN14 1328 1552 1751 146 295 251
TELO2 19 10 7 1 5 12
MIER2 156 112 74 16 52 45
MDM2 2655 1762 1727 1237 1731 758
MDM4 638 963 921 660 415 327
ROR2 3 2 0 2 11 0
ROR1 7 2 0 22 13 0
SNRPD2 67 53 62 56 89 186
SNRPD1 62 70 64 100 100 84
SLTM 1016 1099 1307 1154 1407 667
SHANK2 1 2 2 1 1 0
CPB2 11 13 12 6 2 2
CPB1 2 0 1 3 1 0
KIT 40 19 16 68 55 11
KPNA7 1 1 0 3 0 0
WDR93 0 0 2 12 4 10
KPNA5 38 27 18 80 59 72
NMBR 0 0 0 2 0 0
KIN 229 164 315 215 251 152
MIER3 418 424 514 628 478 426
PKP3 0 0 1 0 0 0
PUS10 119 99 135 229 236 170
REXO4 21 15 10 32 51 57
IFT43 6 1 2 13 13 1
CRP 0 2 3 0 0 0
DVL2 96 70 73 41 33 64
CRX 0 1 0 0 0 0
DALRD3 68 76 64 52 61 93
FRS3 10 17 5 0 1 1
FRS2 200 123 166 209 191 122
TNFRSF17 9 18 8 89 166 83
TNFRSF14 408 393 411 55 152 198
TTC30B 28 32 33 55 60 38
TNFRSF18 1 0 1 1 0 0
TNFRSF19 0 0 3 4 4 9
TSGA10IP 0 1 0 0 1 0
GLDC 9 8 6 1 7 23
QPCT 2940 1704 1269 254 746 139
PC 15 16 18 5 9 15
RTN4IP1 28 48 19 76 40 32
CASP9 333 335 355 151 192 142
B4GALT1 1568 1320 1745 155 230 148
B4GALT3 181 210 202 101 113 90
B4GALT5 1676 1330 2947 177 299 116
B4GALT4 568 609 941 42 93 32
B4GALT7 14 23 7 6 19 32
B4GALT6 9 5 10 9 4 18
FCN3 24 25 26 0 0 0
FCN2 1 2 4 0 0 1
FCN1 5882 4444 5708 465 7192 2015
ROMO1 52 46 62 66 102 98
DHRS11 130 98 182 17 22 19
DHRS12 17 16 20 13 9 8
DHRS13 119 71 128 29 35 22
SGOL1 87 70 88 82 110 28
CR2 40 74 11 467 254 403
CR1 284 258 474 597 860 289
TNFRSF1B 4526 3565 5166 690 1210 701
TNFRSF1A 941 869 836 299 524 246
FAM174B 2 0 1 0 0 4
FAM174A 32 15 20 24 28 11
PAX7 0 0 0 0 0 0
ZNF182 148 93 175 162 106 139
TBC1D17 43 49 29 17 38 57
C7H14orf1 39 51 36 20 31 27
SULT2B1 0 0 0 0 0 0
RFX2 90 64 81 4 6 3
SOGA1 16 20 12 28 45 82
DOHH 1 3 1 0 0 2
FAM96B 54 63 59 29 65 72
CAPS2 0 0 0 1 1 0
ATCAY 1 1 0 0 0 1
EEPD1 93 81 321 25 24 5
ARNTL2 67 16 22 42 65 4
EHMT1 159 171 188 115 155 154
TLDC1 36 41 34 18 23 15
EHMT2 240 209 139 57 99 103
ADIPOR2 891 635 686 714 894 465
HPRT1 201 200 197 182 191 147
PTPN6 4644 4624 5314 696 1262 1963
MARK4 41 59 28 25 34 46
FOSL1 7 5 11 4 2 0
MARK1 0 4 0 2 2 0
MARK2 1778 1387 1327 389 422 200
NDUFA10 336 345 476 425 593 313
TCEA1 1306 1011 1336 1604 1991 883
S100A4 3140 4522 4281 1706 3283 2618
CD63 2897 3240 5216 318 643 451
NUDT19 19 9 14 30 35 21
CD69 690 594 357 672 1075 402
TPD52L3 1 0 0 0 1 0
EFCAB11 35 37 38 96 197 117
EFCAB12 7 23 9 14 12 1
CELA1 6 2 7 3 0 0
VSX1 0 0 0 0 0 0
SHCBP1 506 1178 714 106 79 49
ISOC1 42 30 21 102 109 71
CAPSL 3 1 2 0 6 0
ACTR3B 43 35 18 79 157 105
WDR13 54 74 63 1 12 40
SRP68 224 256 191 259 336 205
FAM83H 6 9 14 3 6 6
WDR17 2 1 3 7 8 3
SPIN3 7 10 11 35 36 24
ARV1 116 121 128 94 115 38
WDR18 3 8 5 1 1 3
MFN1 805 561 727 802 753 516
PF4 220 120 243 281 646 962
AOX1 7 4 11 2 0 0
LMF1 29 25 24 11 22 34
BMP15 0 0 1 0 2 0
JHDM1D 3155 2528 3479 2167 2861 1001
NR3C2 94 112 65 218 149 62
TIMM9 15 7 5 17 24 5
ZMYND15 2 9 1 5 8 1
ZMYND11 408 321 312 1309 1514 1174
NOC4L 30 19 28 9 18 26
ACAD10 130 119 71 135 117 155
ZMYND19 10 7 4 10 16 22
CLEC3B 0 0 0 1 2 0
KRT33A 0 1 0 0 0 0
CLEC3A 0 0 0 0 0 0
AMBP 1 3 21 1 0 0
FAM83F 0 3 0 0 1 0
AMBN 2 1 0 1 0 0
ZFP42 2 6 13 3 6 0
VSX2 0 0 0 0 0 2
MAD2L1BP 351 267 346 83 164 159
WNT2B 4 0 4 2 0 0
HSPB2 0 0 2 1 0 0
HSPB3 0 1 0 0 1 0
PKN1 1246 1225 1036 100 219 278
PKN3 7 1 1 0 1 0
PKN2 2301 1788 2564 5170 5953 1006
HSPB8 8 4 9 0 0 0
C15H9orf91 403 418 374 185 283 164
PRKAG2 298 257 189 225 206 66
PLAGL1 107 150 119 107 58 55
IDH3B 213 210 210 311 331 301
RHOBTB2 8 10 20 3 1 49
INO80D 845 1099 977 306 401 166
MYADML2 0 1 0 3 0 9
INO80C 84 99 66 45 57 96
DIS3L2 168 198 178 277 263 190
FAM43A 49 27 29 31 34 40
KCNE2 2 3 7 0 2 0
KCNE3 73 47 83 58 61 79
FAM124B 7 13 5 8 20 13
ERBB2IP 7611 6752 11454 7745 7529 4026
FOXE1 1 0 0 0 0 0
KCNK13 15 2 8 5 8 7
LDLRAD1 0 0 0 0 0 0
LDLRAD2 0 1 0 0 0 0
HPCA 0 0 0 0 0 0
KCNK17 0 0 1 0 0 0
DNASE2 969 981 1527 247 324 61
FUOM 6 3 5 8 16 76
RFTN1 102 97 46 399 331 441
HTATIP2 336 295 388 284 469 302
LIG4 496 254 523 227 330 114
NAV2 76 49 29 26 19 0
LIG3 543 464 570 226 224 140
APEH 872 786 977 451 726 567
DEFB136 0 1 0 0 1 0
DEFB132 0 0 0 0 0 0
EHBP1L1 1183 1481 1778 157 272 185
FAM84A 1 1 1 1 0 2
BOLL 2 8 2 0 0 0
UMODL1 14 3 2 97 61 0
ADAMTS20 0 4 2 4 7 0
NKX6-2 0 0 0 0 0 0
NKX6-3 0 3 1 0 0 0
NKX6-1 0 1 0 0 0 0
KCTD13 43 46 51 12 7 1
KCTD11 131 90 89 37 51 54
KCTD10 305 415 597 51 78 38
ANKUB1 0 1 0 0 0 0
BARHL2 0 1 1 0 0 0
CSPG4 8 10 10 0 1 0
CSPG5 6 0 1 6 4 0
SCGB2A1 0 0 0 0 0 0
KCTD19 0 1 0 0 0 0
KCTD18 167 154 210 177 198 127
TNFSF13B 3791 2315 5062 948 1672 329
ZKSCAN3 15 14 9 19 23 30
ZKSCAN2 10 26 9 73 33 52
CSF2RB 4943 5883 7303 83 284 162
ZKSCAN4 31 19 11 77 83 68
ATP13A3 13298 4755 9989 3295 4063 988
FSD2 18 17 26 35 23 62
FPGS 10 12 15 2 11 2
GLIS2 1 1 1 0 0 0
GLIS3 4 3 1 2 3 6
GLIS1 0 0 0 0 1 0
H6PD 2348 2549 2940 423 710 323
SLC25A35 0 0 1 0 0 0
CHCHD10 0 0 0 0 0 0
SLC25A37 4493 3789 4534 327 524 410
BCHE 1 0 0 0 8 3
SLC25A30 212 249 306 301 332 79
SLC25A32 79 36 47 157 190 180
AHRR 2 3 1 0 1 0
SLC25A38 281 252 274 501 624 311
GNG7 1 1 0 2 0 7
TUBA1C 0 0 1 0 1 0
TMEM106A 165 184 265 56 78 37
VIP 0 0 1 0 0 0
AJAP1 6 4 3 0 2 0
IGSF11 16 8 7 0 0 0
TMEM182 19 7 13 17 7 8
TMEM181 332 358 433 642 703 360
TMEM180 12 13 10 4 7 16
TMEM187 24 25 43 5 17 12
TMEM186 63 63 65 52 43 37
FAM102A 34 35 15 152 103 166
ADI1 53 65 67 98 115 63
RIMKLA 1 1 0 2 0 2
S100A7L2 1 0 0 0 0 0
KCNJ16 0 3 0 0 0 0
SCGB1A1 0 0 0 0 0 0
TAF6 105 85 61 24 31 35
TAF4 37 48 32 59 47 15
TAF2 1268 1107 1341 1115 1217 598
TAF1 1596 1732 1646 2029 1851 885
G6PD 2114 1686 1771 192 561 306
G6PC 0 1 0 0 0 0
ALDH6A1 129 111 58 291 299 129
TAF9 369 303 367 392 457 234
TAF8 159 143 169 103 125 70
TSPAN32 91 103 137 28 41 46
TSPAN33 1061 714 387 1035 769 978
C11H12orf49 141 254 209 46 46 51
POMT1 106 140 139 73 101 54
POMT2 26 25 7 29 29 23
AIF1 580 826 881 666 1133 616
AGPS 1666 1319 2601 1431 1509 721
PIK3C2B 24 70 17 40 47 56
ZER1 700 534 312 189 343 270
FOSB 8 3 13 3 6 25
ALG9 96 84 74 244 221 89
PPAPDC1A 1 2 1 0 0 0
LRRCC1 61 47 61 306 267 149
HOXA10 10 6 3 0 1 3
TMEM86A 8 10 6 28 62 36
TMEM86B 7 13 4 5 4 3
LGALS12 985 653 2044 3 19 3
CSNK1A1 5062 3922 5678 2495 2933 1635
SMIM8 10 3 5 32 31 71
SSBP4 5 8 2 9 15 18
AP2M1 2406 2077 1490 1334 1619 1016
CRELD2 38 30 35 9 18 13
C11H12orf44 98 90 101 53 110 93
PDCD6 193 177 235 109 197 106
PDCD7 105 49 70 133 157 111
PDCD4 360 466 359 965 897 720
PDCD5 394 332 428 144 156 123
PDCD2 120 91 75 305 311 255
TCF21 1 1 0 0 2 0
