row.names	logFC	logCPM	PValue	FDR
PDE1A	4.63942	0.40192821	6.41E-07	1.06E-05
SECTM1	-3.26029	4.83407321	6.42E-07	1.06E-05
NDST1	-3.381182	3.78429047	6.58E-07	1.08E-05
MRPS27	3.261062	4.75462693	6.59E-07	1.08E-05
STK39	3.221991	6.29325071	6.71E-07	1.10E-05
CLEC6A	-3.262731	4.76093756	6.98E-07	1.14E-05
NLRC4	-3.319239	3.97313304	6.99E-07	1.14E-05
MTAP	3.271248	4.27851442	7.02E-07	1.14E-05
GRAMD1A	-3.235569	5.52457648	7.03E-07	1.14E-05
NR2F6	-3.774713	1.84561315	7.03E-07	1.14E-05
YAE1D1	3.519904	2.29065495	7.21E-07	1.16E-05
MAPK3	-3.268761	4.27199051	7.24E-07	1.17E-05
PXN	-3.191008	7.81987956	7.40E-07	1.19E-05
PHACTR1	-3.217309	6.0473797	7.48E-07	1.20E-05
TMEM67	3.293816	3.96686616	7.57E-07	1.21E-05
LBH	3.193269	7.17212691	7.58E-07	1.21E-05
PRIM1	3.201146	6.30426637	7.66E-07	1.22E-05
ANKRD46	3.22091	5.3315995	7.67E-07	1.22E-05
RPS23	3.18356	8.76896027	7.67E-07	1.22E-05
MOB3C	-3.331521	3.79276514	7.69E-07	1.22E-05
ANKRD2	-6.776533	0.24409867	7.79E-07	1.23E-05
NDFIP2	3.361912	3.20474732	8.12E-07	1.28E-05
MICAL2	3.200796	5.82172272	8.14E-07	1.28E-05
SLC15A2	3.215413	5.29780366	8.41E-07	1.32E-05
ORAI1	-3.349524	3.68734115	8.52E-07	1.34E-05
COLQ	-3.431177	2.75948825	8.73E-07	1.37E-05
ITGB8	-5.43145	0.53892545	8.94E-07	1.40E-05
ADTRP	3.791131	1.29195394	9.23E-07	1.44E-05
ATG2A	-3.19749	5.51914533	9.28E-07	1.44E-05
CCR7	3.193014	5.10684095	9.42E-07	1.46E-05
IRF4	3.353453	3.11234616	9.43E-07	1.46E-05
PROK2	-3.357352	3.47281244	9.47E-07	1.46E-05
LIPN	3.188697	5.13343306	9.58E-07	1.48E-05
CRISPLD2	-3.182052	5.82097036	9.66E-07	1.49E-05
NIPAL4	-3.581695	2.42271361	1.03E-06	1.58E-05
HBEGF	-3.142788	7.75182636	1.04E-06	1.59E-05
SLAMF1	-3.153456	6.74582022	1.05E-06	1.60E-05
CEACAM8	-3.214491	4.59639057	1.05E-06	1.60E-05
TLR7	3.258776	3.76526978	1.05E-06	1.60E-05
SAMD4B	-3.290201	3.68297868	1.06E-06	1.60E-05
TSPAN16	-3.851315	1.7936149	1.06E-06	1.60E-05
LRP11	3.17346	5.3435117	1.06E-06	1.61E-05
PPP1R15A	-3.134727	8.70466021	1.08E-06	1.63E-05
RIC3	3.306236	3.04432276	1.08E-06	1.63E-05
NINJ1	-3.190606	5.03146232	1.08E-06	1.63E-05
CAV2	-4.514596	0.94211329	1.09E-06	1.64E-05
HIVEP3	-3.201355	4.68532661	1.10E-06	1.65E-05
CCDC144A	3.210691	4.22180977	1.12E-06	1.68E-05
NDUFAF2	3.209493	4.11884776	1.13E-06	1.69E-05
CTSC	-3.124386	9.38858598	1.15E-06	1.71E-05
CHAC1	-6.720173	0.19070449	1.19E-06	1.76E-05
TARSL2	3.167041	4.94581623	1.20E-06	1.77E-05
ETS2	-3.117979	8.16164697	1.22E-06	1.80E-05
MEF2C	3.113841	7.92201495	1.25E-06	1.84E-05
PPP2R2B	3.40704	2.43781341	1.26E-06	1.85E-05
PPAT	3.175876	4.49226146	1.31E-06	1.92E-05
TGFBR3	3.119532	6.49665664	1.31E-06	1.92E-05
POC1B	3.10202	9.84918032	1.33E-06	1.95E-05
APOA2	-3.65544	2.19640406	1.35E-06	1.97E-05
DDAH2	-3.432803	2.40082325	1.35E-06	1.97E-05
GNB2L1	3.097249	10.21825879	1.37E-06	1.99E-05
TSPYL5	3.325471	2.83636005	1.37E-06	1.99E-05
SKAP1	3.146443	4.97750183	1.38E-06	2.01E-05
BPI	-3.156557	5.22594368	1.39E-06	2.01E-05
TIPIN	3.142368	4.9272051	1.39E-06	2.01E-05
TWIST2	-3.305006	3.08773269	1.43E-06	2.06E-05
PRG2	-4.204438	1.08031241	1.46E-06	2.10E-05
LRRC8B	3.115895	5.62395465	1.46E-06	2.10E-05
TBCEL	3.095413	7.3250948	1.46E-06	2.10E-05
KITLG	-6.682607	0.17007658	1.47E-06	2.11E-05
RALGAPA2	-3.086801	9.48655387	1.48E-06	2.11E-05
CD8B	3.207185	3.59179367	1.57E-06	2.24E-05
CISD1	3.275096	2.87696529	1.58E-06	2.24E-05
FAM129A	-3.071142	9.0777864	1.65E-06	2.34E-05
EXPH5	3.182109	3.83503371	1.65E-06	2.34E-05
SLAMF8	3.42663	1.97521065	1.75E-06	2.47E-05
NFKB2	-3.077616	6.69851225	1.76E-06	2.49E-05
ACVRL1	-5.178595	0.42878886	1.79E-06	2.52E-05
DES	3.156661	3.92728664	1.81E-06	2.55E-05
ORC4	3.055796	8.01861237	1.84E-06	2.59E-05
SLC26A2	3.175745	3.63196913	1.85E-06	2.59E-05
ANKRD32	3.064709	6.42712136	1.91E-06	2.67E-05
SLC15A3	-3.06335	6.70947241	1.92E-06	2.68E-05
TRUB1	3.107987	4.53942417	1.94E-06	2.70E-05
RPL4	3.045272	10.79068128	1.94E-06	2.70E-05
TP53I11	-3.980228	1.27471219	1.98E-06	2.74E-05
BID	-3.078241	5.58714641	2.00E-06	2.77E-05
SMIM8	3.454623	1.96467921	2.01E-06	2.77E-05
ARL4D	3.392308	2.1068901	2.01E-06	2.77E-05
SPAG16	3.157171	3.48403186	2.02E-06	2.78E-05
PSTPIP2	-3.042293	8.16848912	2.02E-06	2.78E-05
LGMN	3.058486	5.82650533	2.07E-06	2.83E-05
CXCR5	3.100064	4.68714081	2.08E-06	2.85E-05
RCAN3	3.149619	3.55495379	2.09E-06	2.85E-05
ZNF648	-4.636063	0.83365137	2.10E-06	2.86E-05
CLNK	3.31811	2.38647739	2.12E-06	2.88E-05
WDR89	3.141468	3.73756334	2.14E-06	2.91E-05
COL7A1	-5.276236	0.42163959	2.14E-06	2.91E-05
RRBP1	-3.050517	6.22944894	2.17E-06	2.93E-05
ITFG2	3.075094	4.85738972	2.22E-06	3.00E-05
DBNDD1	-3.484934	2.13389889	2.27E-06	3.07E-05
TMEM150B	-3.414368	2.47603486	2.30E-06	3.10E-05
BTN1A1	-3.417568	1.9455398	2.31E-06	3.10E-05
CAMTA2	-3.059916	5.33143238	2.34E-06	3.13E-05
PTPRG	3.104798	4.1110994	2.34E-06	3.13E-05
TTC39A	-4.337526	0.99051496	2.35E-06	3.13E-05
GIF	-4.10712	0.98024108	2.35E-06	3.13E-05
LCA5	3.120334	3.62135243	2.35E-06	3.13E-05
FCRL2	3.224399	2.71908402	2.40E-06	3.20E-05
TCTA	-3.236699	3.01020288	2.44E-06	3.24E-05
GET4	-3.159109	3.47940163	2.46E-06	3.26E-05
PARP14	-3.005156	10.94550438	2.54E-06	3.37E-05
HS6ST1	-4.968773	0.39203378	2.57E-06	3.40E-05
ZSCAN26	3.097101	3.89346355	2.63E-06	3.47E-05
CCNJL	-3.037082	5.2609865	2.65E-06	3.49E-05
TSPAN14	-3.010295	7.05399564	2.66E-06	3.50E-05
ATP8B4	-3.001327	7.8075276	2.69E-06	3.53E-05
CSTA	-3.00689	7.1676271	2.71E-06	3.55E-05
ST3GAL5	3.01904	5.58418053	2.81E-06	3.67E-05
BBS5	3.376364	2.02406478	2.82E-06	3.68E-05
DACH1	-3.100827	3.72551397	2.87E-06	3.73E-05
IGSF11	-6.561213	0.07634401	2.89E-06	3.76E-05
AHR	2.994564	6.86809185	2.92E-06	3.78E-05
IL7R	2.992117	7.29169912	2.92E-06	3.78E-05
IGF2R	-2.984314	10.9280332	2.93E-06	3.78E-05
PCYT1B	3.237729	2.55865774	2.95E-06	3.81E-05
BCL6	-2.987386	7.82681025	2.95E-06	3.81E-05
ABHD12B	-3.427673	1.97450171	2.97E-06	3.82E-05
COL4A2	-4.019082	0.94639114	3.00E-06	3.85E-05
SHROOM4	-3.025229	5.17155389	3.03E-06	3.88E-05
RFTN1	3.014208	5.33694379	3.04E-06	3.89E-05
FERMT2	-3.206215	2.72070137	3.05E-06	3.89E-05
ATF7IP2	3.012385	5.25200649	3.09E-06	3.94E-05
FAS	-2.977132	8.24068956	3.13E-06	3.98E-05
PRELID1	-2.998307	5.8339835	3.17E-06	4.03E-05
PPP1R3B	-3.050601	4.42620676	3.22E-06	4.09E-05
CD14	-2.981278	7.36474889	3.23E-06	4.09E-05
CHEK2	3.007478	4.88029218	3.31E-06	4.18E-05
LEFTY1	3.09909	3.35010114	3.32E-06	4.19E-05
SMCR7L	-2.974431	7.13849008	3.34E-06	4.21E-05
ZNF573	3.223397	2.38721418	3.36E-06	4.23E-05
GTPBP2	-2.964992	8.03152511	3.40E-06	4.27E-05
FRA10AC1	3.050716	4.02413778	3.41E-06	4.28E-05
INPP5F	2.973501	6.75224779	3.43E-06	4.29E-05
CD99L2	2.998942	4.8893405	3.61E-06	4.51E-05
ST6GAL1	2.971383	6.23654543	3.63E-06	4.52E-05
CD5L	4.26342	0.59352816	3.63E-06	4.52E-05
KLHL14	3.514768	1.52666656	3.64E-06	4.52E-05
CTSE	-5.17726	0.34635086	3.74E-06	4.63E-05
GCSAM	4.566664	0.18159539	3.74E-06	4.63E-05
DYNC2LI1	3.121399	2.7870809	3.75E-06	4.63E-05
ZFHX3	3.121612	2.99335894	3.82E-06	4.71E-05
POLR3G	3.067577	3.48624407	3.94E-06	4.85E-05
MANEA	2.968313	5.50040153	3.94E-06	4.85E-05
B4GALT1	-2.952711	6.80764013	3.97E-06	4.88E-05
STXBP6	3.234343	2.40792636	3.98E-06	4.88E-05
NSG1	3.679112	1.02818355	4.00E-06	4.89E-05
OTOG	3.663727	1.07646229	4.00E-06	4.89E-05
CD8A	2.959279	5.47851538	4.16E-06	5.08E-05
ZBTB38	2.941397	6.81388714	4.20E-06	5.12E-05
DCAF16	2.94945	5.98371201	4.26E-06	5.18E-05
ZNF667	3.296204	1.82310135	4.29E-06	5.21E-05
GPX4	2.937543	6.59806252	4.34E-06	5.26E-05
SLC9A9	2.943657	6.10054451	4.36E-06	5.27E-05
HAS2	-4.020355	0.92358356	4.36E-06	5.27E-05
DTWD1	2.952785	5.47040939	4.37E-06	5.27E-05
PPM1N	-5.122193	0.53750781	4.48E-06	5.40E-05
MYADM	-3.005421	4.2351745	4.50E-06	5.41E-05
CCDC50	2.929541	6.63330827	4.58E-06	5.50E-05
UPK1B	-3.402351	1.59896169	4.61E-06	5.51E-05
FXN	3.062172	3.27919724	4.61E-06	5.51E-05
SAMD9	-2.915392	11.17667978	4.61E-06	5.51E-05
SRGAP2	-2.916709	8.58211828	4.64E-06	5.53E-05
ALDH1A2	2.99176	3.88837686	4.69E-06	5.58E-05
INSR	-2.941073	5.63034702	4.73E-06	5.63E-05
TNFRSF17	3.091837	2.95510531	4.79E-06	5.68E-05
IFI35	-2.925204	6.53070712	4.86E-06	5.76E-05
NOC3L	2.926695	6.02773062	4.92E-06	5.82E-05
FBXO39	-3.234645	2.38035673	5.03E-06	5.94E-05
JDP2	-2.94664	5.34016172	5.07E-06	5.98E-05
MYH10	-2.967231	4.63476714	5.11E-06	6.01E-05
NCF4	-2.920583	6.51484868	5.13E-06	6.03E-05
ABI3	2.977585	3.99622661	5.22E-06	6.12E-05
FAM196A	3.000796	3.48295881	5.35E-06	6.27E-05
KIF20A	-2.969376	4.4070298	5.37E-06	6.28E-05
CEP57L1	2.934571	4.88531871	5.38E-06	6.29E-05
ADORA2A	-2.914764	6.09998181	5.40E-06	6.30E-05
PRTFDC1	2.946417	4.57435113	5.46E-06	6.35E-05
LRRC6	-3.044587	3.31688193	5.48E-06	6.37E-05
SELL	-2.889089	11.19180774	5.49E-06	6.37E-05
SCAI	3.021308	3.31716286	5.71E-06	6.60E-05
RIN2	-2.928392	5.10789431	5.71E-06	6.60E-05
TARBP2	3.073822	2.62764113	5.71E-06	6.60E-05
ZFAND2A	-2.911722	5.67307725	5.72E-06	6.60E-05
IFIT3	-2.881251	11.0885204	5.78E-06	6.65E-05
RNF168	2.937725	4.4014923	5.80E-06	6.67E-05
INSL6	-6.439678	-0.01467521	5.90E-06	6.78E-05
B3GALNT1	-2.899247	5.66900464	5.95E-06	6.82E-05
CNTD1	-3.282895	2.1935959	5.96E-06	6.82E-05
ADAM28	-3.023477	3.50233896	5.99E-06	6.84E-05
PPM1E	3.307299	1.49427792	6.08E-06	6.93E-05
ZNF678	3.045304	2.95385525	6.09E-06	6.93E-05
PRELID2	3.00414	3.21518894	6.10E-06	6.94E-05
ABL2	-2.890492	6.29087433	6.17E-06	7.00E-05
WRN	2.881076	7.02606829	6.18E-06	7.00E-05
GCDH	3.123266	2.30193533	6.23E-06	7.05E-05
TMEM37	-3.534393	1.36766564	6.28E-06	7.10E-05
ATXN10	2.876244	7.1676108	6.32E-06	7.13E-05
WDR11	2.881555	6.57370247	6.33E-06	7.13E-05
PKHD1L1	2.868173	8.00745823	6.40E-06	7.21E-05
TGFA	-3.276357	2.18154415	6.60E-06	7.41E-05
FLT3	2.947855	3.92511767	6.63E-06	7.43E-05
CCDC138	2.897368	4.9743476	6.70E-06	7.50E-05
SERPINH1	-5.077516	0.24881298	6.71E-06	7.50E-05
FCRL5	3.002465	3.1722705	6.71E-06	7.50E-05
MOCS2	2.913885	4.42745613	6.75E-06	7.53E-05
ZFP14	2.97381	3.31955836	6.76E-06	7.53E-05
PATL1	-2.859415	7.31665724	6.93E-06	7.71E-05
SORL1	2.858538	7.07844698	7.07E-06	7.85E-05
ZNF595	2.883336	5.12527945	7.16E-06	7.94E-05
CD86	2.861503	6.27629907	7.22E-06	7.99E-05
TRHDE	3.155994	2.21108954	7.24E-06	8.00E-05
FDXACB1	2.992417	3.20498709	7.25E-06	8.00E-05
CRTAM	3.078079	2.34182791	7.40E-06	8.15E-05
ZBTB7B	-2.908409	4.74111878	7.47E-06	8.21E-05
CTSL	-2.87107	5.26593357	7.49E-06	8.23E-05
PDK3	3.003773	3.01773574	7.56E-06	8.27E-05
ADAMTS4	-6.41084	-0.04342321	7.56E-06	8.27E-05
DLL4	-6.369702	-0.07505154	7.56E-06	8.27E-05
KCTD10	-2.884872	5.03825057	7.58E-06	8.27E-05
SLC26A11	-3.265987	1.84737511	7.59E-06	8.28E-05
LTBP2	-3.28156	1.64076456	7.64E-06	8.31E-05
DOK3	-2.942254	4.10678731	7.72E-06	8.40E-05
ACSS2	-2.851263	6.43073971	7.82E-06	8.49E-05
EFHD2	-2.840276	7.38692216	7.85E-06	8.51E-05
EEPD1	-2.942467	3.51606754	7.86E-06	8.51E-05
VSIG1	3.152296	2.16463416	7.87E-06	8.51E-05
HEBP1	-2.901227	4.36636766	7.98E-06	8.61E-05
WFDC5	-4.758318	0.24094929	8.20E-06	8.82E-05
SMPDL3B	-4.724534	0.23653814	8.20E-06	8.82E-05
MTUS1	-3.300249	1.69698673	8.40E-06	9.03E-05
IFIT2	-2.819339	11.7316295	8.64E-06	9.27E-05
COMT	-2.856762	5.40161417	8.71E-06	9.31E-05
SMG6	-2.845212	5.78919765	8.71E-06	9.31E-05
TLE6	-4.56179	0.44907545	8.78E-06	9.36E-05
NFKBIE	-2.841127	6.07426365	8.79E-06	9.36E-05
CSPP1	2.820425	7.65285089	8.79E-06	9.36E-05
PTCH1	3.186975	1.87036417	8.90E-06	9.45E-05
FASTKD3	3.018527	2.44504877	8.90E-06	9.45E-05
SLC39A10	2.828413	6.07294203	9.09E-06	9.64E-05
IL2RG	-2.813689	8.03397394	9.16E-06	9.70E-05
RASSF6	-2.970465	3.28084336	9.21E-06	9.73E-05
NFAM1	-2.837318	5.65222146	9.25E-06	9.77E-05
PIWIL1	3.314422	1.37848346	9.50E-06	1.00E-04
TET3	-2.85371	4.8994642	9.54E-06	1.00E-04
CHRM1	-6.355458	-0.08656026	9.74E-06	1.02E-04
CSF1	-2.829055	5.14313475	9.82E-06	1.03E-04
SRD5A3	3.205302	1.73061923	9.87E-06	1.03E-04
METTL7B	-3.186492	1.82175521	9.87E-06	1.03E-04
PAX5	2.939895	3.06300999	9.91E-06	1.04E-04
CSGALNACT1	-2.844269	5.28030344	1.01E-05	1.05E-04
FGD5	-4.272934	0.61743781	1.01E-05	1.06E-04
LHFPL1	3.185287	1.83276261	1.06E-05	1.10E-04
ELP4	2.833854	4.58414104	1.07E-05	1.11E-04
TBC1D9	2.784778	7.90627624	1.10E-05	1.14E-04
TFEC	-2.783885	8.37599626	1.10E-05	1.15E-04
PLEKHM1	-2.837268	4.65831852	1.11E-05	1.15E-04
LRRCC1	2.821964	4.61858025	1.13E-05	1.16E-04
MAP2K3	-2.795516	6.56050787	1.13E-05	1.16E-04
B4GALT4	-2.802409	5.48828723	1.14E-05	1.17E-04
GRIPAP1	-2.795472	6.31477799	1.15E-05	1.18E-04
PON3	-2.835428	4.50671813	1.16E-05	1.19E-04
RRP12	-2.788439	6.61167246	1.18E-05	1.21E-04
IFIT5	-2.772887	8.71667164	1.18E-05	1.21E-04
UMODL1	3.085317	1.91937266	1.19E-05	1.22E-04
MAP3K7CL	2.94897	2.59527043	1.20E-05	1.23E-04
CISH	-2.819986	4.61217245	1.20E-05	1.23E-04
MAP9	2.914071	2.94023514	1.21E-05	1.23E-04
ACER2	2.803412	4.99262014	1.22E-05	1.24E-04
FBXL14	3.055687	2.03991211	1.22E-05	1.24E-04
BASP1	-2.801767	5.3656128	1.23E-05	1.25E-04
COL16A1	-4.714679	0.40345655	1.25E-05	1.26E-04
GPR174	2.809113	4.70427783	1.27E-05	1.29E-04
TRAF3IP1	2.985085	2.35029693	1.29E-05	1.31E-04
EAF2	2.781824	5.57008539	1.30E-05	1.31E-04
BRMS1L	2.78199	5.39214847	1.30E-05	1.31E-04
GNG12	-3.76998	0.91392666	1.30E-05	1.31E-04
CCDC77	2.782044	5.1753089	1.34E-05	1.35E-04
PNMA1	-2.779299	5.48148393	1.35E-05	1.35E-04
TMEM194B	2.978851	2.50877411	1.35E-05	1.36E-04
ARID3B	-2.792237	5.00370959	1.37E-05	1.37E-04
FAIM	2.887296	3.01204849	1.43E-05	1.43E-04
CEBPB	-3.392681	1.52646684	1.43E-05	1.43E-04
TRIM32	2.826868	3.6984757	1.43E-05	1.43E-04
BATF	-2.829403	3.97885632	1.44E-05	1.43E-04
SACS	2.737954	8.37716595	1.48E-05	1.47E-04
EEF1B2	2.737167	8.53053443	1.48E-05	1.47E-04
ZNF141	2.805041	4.12571756	1.49E-05	1.47E-04
FABP4	-4.106689	0.40081485	1.49E-05	1.48E-04
PCDH1	2.837858	3.42892966	1.50E-05	1.48E-04
TADA2A	2.80468	3.94113251	1.52E-05	1.50E-04
ANAPC1	2.744443	6.56190366	1.52E-05	1.50E-04
DNTT	3.191736	1.46214067	1.52E-05	1.50E-04
SMURF1	-2.758134	5.73659152	1.54E-05	1.52E-04
PEPD	2.816588	3.47205254	1.61E-05	1.58E-04
SLC16A10	2.747763	5.18941958	1.65E-05	1.62E-04
SLC25A37	-2.721435	8.04931034	1.66E-05	1.63E-04
EBF1	2.896548	2.56373203	1.69E-05	1.65E-04
P2RY14	3.067737	1.8546208	1.70E-05	1.66E-04
KDR	-3.178261	1.74733839	1.70E-05	1.66E-04
PAQR8	2.751805	4.91599637	1.72E-05	1.67E-04
ADAM12	3.194285	1.32622233	1.72E-05	1.67E-04
KIAA1467	-2.767392	4.68472421	1.72E-05	1.67E-04
PITPNC1	2.726147	6.19623095	1.73E-05	1.68E-04
B4GALT5	-2.720757	6.9360911	1.75E-05	1.70E-04
LRRC8C	2.726555	6.16415846	1.75E-05	1.70E-04
FAM129C	2.945261	2.34376426	1.75E-05	1.70E-04
SOCS6	2.848544	3.06658127	1.77E-05	1.71E-04
KIF2A	2.707426	8.99313535	1.79E-05	1.72E-04
ETV4	-4.271348	0.37339245	1.79E-05	1.72E-04
MCOLN2	2.757168	4.42408688	1.79E-05	1.72E-04
JAK3	-2.720661	6.48347019	1.79E-05	1.72E-04
ADAM17	-2.709439	7.93115664	1.79E-05	1.72E-04
CACHD1	2.819976	3.27560341	1.80E-05	1.73E-04
MYBPC3	-3.319074	1.64337004	1.87E-05	1.79E-04
GRK6	-2.710311	6.78592578	1.89E-05	1.81E-04
VWA8	2.709808	6.31436764	1.90E-05	1.81E-04
IGSF3	-3.790852	0.71297139	1.92E-05	1.83E-04
AKR7A3	2.929311	2.12515366	1.94E-05	1.85E-04
SLC22A4	-2.751513	4.43414565	1.94E-05	1.85E-04
CTSW	2.895368	2.48286534	1.94E-05	1.85E-04
RNF175	-2.723249	5.28323866	1.95E-05	1.85E-04
LILRA2	-2.690471	8.66303385	2.00E-05	1.90E-04
PTPN4	2.697152	6.73529907	2.01E-05	1.90E-04
MAB21L3	-3.210103	1.64156212	2.01E-05	1.90E-04
TNS3	-2.724475	5.21778947	2.01E-05	1.90E-04
ITGB7	2.703386	6.1267634	2.03E-05	1.91E-04
MZB1	2.934263	2.20127893	2.03E-05	1.91E-04
ARHGAP23	-3.566105	1.08609427	2.05E-05	1.93E-04
PSD3	2.721719	4.7802025	2.08E-05	1.95E-04
CASZ1	-2.896602	2.89195223	2.09E-05	1.96E-04
ARHGAP5	2.683034	8.3125852	2.10E-05	1.97E-04
UBQLNL	-2.847593	3.21505774	2.10E-05	1.97E-04
CD3G	2.702998	5.58827784	2.11E-05	1.97E-04
MAFG	-2.722875	4.94074962	2.15E-05	2.01E-04
CTSF	3.140789	1.48670418	2.16E-05	2.02E-04
BBS9	2.686196	6.62829805	2.17E-05	2.02E-04
GPX1	2.694654	5.75868081	2.19E-05	2.04E-04
IRAK1	-2.835186	3.25577813	2.20E-05	2.04E-04
SERPINF2	-3.630149	0.6836797	2.22E-05	2.06E-04
SYNGR2	-2.718427	4.89389835	2.23E-05	2.06E-04
GM2A	-2.688543	6.14713619	2.23E-05	2.06E-04
ADCY6	-2.816436	3.41730806	2.23E-05	2.06E-04
SOCS3	-2.709281	5.04689447	2.29E-05	2.11E-04
ATP13A1	-2.873125	2.95987634	2.30E-05	2.12E-04
CD96	2.783792	3.36152595	2.33E-05	2.14E-04
SMAD5	2.694932	5.1794495	2.36E-05	2.17E-04
PRKDC	2.662461	9.13125719	2.37E-05	2.18E-04
PRF1	2.682927	5.52367103	2.40E-05	2.20E-04
RAB5C	-2.664717	7.28086039	2.42E-05	2.21E-04
NAPA	-2.66193	7.65185486	2.43E-05	2.22E-04
TNFSF14	-3.324926	1.19534051	2.44E-05	2.23E-04
SNX30	2.731015	3.79483017	2.46E-05	2.25E-04
ZDHHC14	-2.680559	5.61848743	2.50E-05	2.28E-04
INADL	2.805295	3.0545905	2.50E-05	2.28E-04
CCIN	-2.734201	3.749393	2.51E-05	2.28E-04
TMED8	2.669125	5.85716188	2.52E-05	2.29E-04
GLUL	-2.649658	10.37820337	2.56E-05	2.32E-04
ISOC1	2.755791	3.40866476	2.59E-05	2.35E-04
IQSEC1	-2.652472	7.19133233	2.63E-05	2.38E-04
RAB1A	-2.656532	6.31683866	2.64E-05	2.38E-04
C2H3orf62	-2.706305	4.48391509	2.64E-05	2.38E-04
EOMES	2.707514	3.97969068	2.70E-05	2.43E-04
ACVR2A	2.744555	3.52617149	2.73E-05	2.45E-04
ACTN4	-2.6448	7.47361963	2.73E-05	2.45E-04
IL15RA	-2.687302	4.4999199	2.73E-05	2.45E-04
RPL7A	2.639813	9.13834941	2.74E-05	2.45E-04
CLU	-2.6539	6.5237238	2.74E-05	2.46E-04
NR4A3	-2.844615	2.68878198	2.75E-05	2.46E-04
EXO1	2.745205	3.34030437	2.76E-05	2.47E-04
CCDC68	2.902373	1.95125192	2.79E-05	2.49E-04
TRIM14	-2.655557	5.72877368	2.80E-05	2.50E-04
ITPK1	-2.655383	5.96671344	2.83E-05	2.52E-04
EPSTI1	-2.633647	9.0286587	2.85E-05	2.53E-04
IL18	-2.667256	4.97027359	2.86E-05	2.54E-04
SLFN5	-2.631161	9.85860626	2.88E-05	2.55E-04
SEMA4C	-3.289173	1.33787448	2.92E-05	2.59E-04
RAB20	-2.712208	4.08650736	2.95E-05	2.61E-04
AHNAK2	2.671906	4.70627146	2.96E-05	2.62E-04
PLCB1	2.649848	5.5267077	2.97E-05	2.62E-04
LRP1	2.632161	6.82079024	3.02E-05	2.66E-04
CD40LG	2.724031	3.19527313	3.02E-05	2.66E-04
RBM47	-2.625866	7.89849857	3.03E-05	2.66E-04
TP53BP2	-2.625737	7.80787697	3.04E-05	2.67E-04
MICAL1	-2.637249	6.28381533	3.06E-05	2.69E-04
POP1	2.782767	2.83373609	3.07E-05	2.70E-04
GLI1	-3.020115	1.84210319	3.14E-05	2.75E-04
ZMIZ2	-2.732025	3.7812812	3.16E-05	2.76E-04
TK1	-2.835896	2.59761452	3.25E-05	2.84E-04
ANKH	2.646352	4.76551046	3.32E-05	2.90E-04
RAP2C	-2.608341	8.3507894	3.36E-05	2.93E-04
SLC2A6	-2.701746	3.77586243	3.37E-05	2.93E-04
HTRA2	-2.652596	5.01184787	3.39E-05	2.95E-04
ZNF549	2.654571	4.49833553	3.42E-05	2.97E-04
SCN3A	3.20336	0.81353676	3.43E-05	2.97E-04
MAP7D1	-2.625343	5.76151142	3.43E-05	2.97E-04
MTHFS	-2.68168	4.17535163	3.48E-05	3.01E-04
NTNG2	3.139483	1.13829551	3.51E-05	3.03E-04
SHCBP1	-2.620865	5.6242408	3.55E-05	3.07E-04
SREBF1	-2.708177	3.55506929	3.63E-05	3.13E-04
C14H11orf42	-3.752762	0.45441157	3.66E-05	3.15E-04
SLC9B1	3.605218	0.31172542	3.66E-05	3.15E-04
PF4V1	2.613086	5.66228585	3.67E-05	3.15E-04
RGS6	2.741178	2.74890398	3.68E-05	3.16E-04
ADAM9	-2.592996	7.72421149	3.73E-05	3.19E-04
SPATA7	2.973403	1.56336814	3.75E-05	3.21E-04
BMPR1B	2.951193	1.649025	3.78E-05	3.23E-04
NRM	-2.818777	2.64780128	3.78E-05	3.23E-04
LGALS3BP	-2.591888	6.98982084	3.83E-05	3.26E-04
B3GALNT2	2.652414	4.02015284	3.84E-05	3.27E-04
UTP11L	2.616168	4.91703823	3.86E-05	3.29E-04
DMD	2.78879	2.30247667	3.91E-05	3.33E-04
FHOD1	-2.599655	6.04764747	3.93E-05	3.34E-04
UPP1	-2.598885	6.19296666	3.93E-05	3.34E-04
MRPL11	2.627628	4.45418197	3.95E-05	3.35E-04
SH2B3	-2.606171	5.58328367	3.96E-05	3.35E-04
GSTP1	2.639817	4.13000359	3.98E-05	3.37E-04
SGMS2	-2.591072	6.47346011	4.02E-05	3.40E-04
MED15	-2.677856	3.66706756	4.05E-05	3.41E-04
C9H10orf11	-2.903019	2.00051559	4.07E-05	3.43E-04
MAPK8IP3	-2.65171	4.06544096	4.16E-05	3.50E-04
MAN1A2	2.572982	8.77613022	4.16E-05	3.50E-04
SIRPB2	-2.579387	6.80789486	4.21E-05	3.54E-04
PLEKHA5	2.662816	3.49406396	4.22E-05	3.54E-04
DPP4	2.594862	5.22815934	4.26E-05	3.57E-04
FAM81A	3.025073	1.30027582	4.28E-05	3.58E-04
EVC2	2.963764	1.42566971	4.31E-05	3.60E-04
IGFBP3	-2.947046	1.69365544	4.32E-05	3.60E-04
BRI3	-2.596256	5.45999852	4.32E-05	3.60E-04
RPL10A	2.567146	7.96574159	4.34E-05	3.62E-04
FOSL2	-2.590716	5.59140116	4.35E-05	3.62E-04
SLC22A23	2.700308	2.9735299	4.38E-05	3.64E-04
ARRDC2	-2.577409	6.41678972	4.42E-05	3.67E-04
